"Strain","ColonyID","Size","MinorAxisLength","Eccentricity","MeanIntensity","Radius","Type","PlateNumber","Date"
"WT_37",50,1112,36.6120801791161,0.325119407640268,0.48853908401934,18.8138404754685,3,"1","G"
"WT_37",51,723,27.1739160888867,0.628841311199773,0.485428558791288,15.1703015036248,3,"1","G"
"WT_37",52,969,35.1172952793238,0.06656651088659,0.485805700174577,17.5625248672306,3,"1","G"
"WT_37",53,1171,38.1908558956808,0.212182125860292,0.494441308942653,19.3064983029347,3,"1","G"
"WT_37",54,1253,39.3408720727964,0.246548114275046,0.497537170324887,19.9710362121821,3,"1","G"
"WT_37",55,793,29.4074289632526,0.556807628522168,0.481772034845649,15.8877229250685,3,"1","G"
"WT_37",56,1093,36.1465397092298,0.346619697194652,0.500878646269561,18.6524182238894,3,"1","G"
"WT_37",57,1285,39.5566370046863,0.29646106749371,0.498371078318733,20.224445696883,3,"1","G"
"WT_37",58,581,20.3208609600362,0.835261329974671,0.494929727470727,13.5991927654836,3,"1","G"
"WT_37",59,967,34.6556843707058,0.225087868778913,0.492723504714187,17.5443911247933,3,"1","G"
"WT_37",60,1017,35.6925799451102,0.188884579838745,0.497679571762495,17.9922526174161,3,"1","G"
"WT_37",61,1356,40.4594512147629,0.320797330443363,0.519776840869632,20.7756637839858,3,"1","G"
"WT_37",62,1031,35.6719129128813,0.250394155510733,0.498805246658447,18.115669809739,3,"1","G"
"WT_37",63,1170,37.6672558005982,0.307830541839358,0.502205140776997,19.2982529477421,3,"1","G"
"WT_37",64,639,28.2502824386139,0.444824252810459,0.497160424959871,14.2618377943182,3,"1","G"
"WT_37",65,669,26.6537690429113,0.580229498561076,0.477460011934695,14.5927829373617,3,"1","G"
"WT_37",66,1040,32.5084026939061,0.61601070306348,0.482874174185343,18.1945673658689,3,"1","G"
"WT_37",67,839,31.4382136790338,0.393595744553445,0.484377195519368,16.3420315294091,3,"1","G"
"WT_37",68,749,28.7960121839041,0.520834839106514,0.48033327868552,15.4406639997009,3,"1","G"
"WT_37",69,867,32.4770602302917,0.334686349997631,0.489655216777596,16.6124854046993,3,"1","G"
"WT_37",70,648,26.5501063277837,0.54297921030279,0.470908032644488,14.3619220944516,3,"1","G"
"WT_37",71,945,33.9704064105115,0.288350388448693,0.501453188900073,17.3436686558433,3,"1","G"
"WT_37",72,949,34.440468872176,0.198010968517973,0.498324690795164,17.3803360723669,3,"1","G"
"WT_37",73,784,30.3857332502742,0.401392166236035,0.48718665885536,15.7973083393372,3,"1","G"
"WT_37",74,852,32.3401178483471,0.288059031861372,0.48189650222465,16.4681517793768,3,"1","G"
"WT_37",75,1092,36.7853147922939,0.234660311386163,0.499122426159226,18.6438836005994,3,"1","G"
"WT_37",76,1305,40.333117708169,0.208720140584953,0.503215376767199,20.3812266919792,3,"1","G"
"WT_37",77,1167,37.6991705714033,0.294557410676437,0.496407217167165,19.2734957176036,3,"1","G"
"WT_37",78,1629,32.4293178183658,0.929388088920059,0.515959140288095,22.7711836449798,3,"1","G"
"WT_37",79,661,28.3657127497339,0.30775625597335,0.485374865782775,14.505269206998,3,"1","G"
"WT_37",80,1238,38.9945753941495,0.267005023743227,0.501569463229658,19.8511369723634,3,"1","G"
"WT_37",81,734,29.971573153375,0.293029699780731,0.481705424667921,15.2852692635394,3,"1","G"
"WT_37",82,806,31.7302120215252,0.208725138749224,0.487139062311592,16.0174207743986,3,"1","G"
"WT_37",83,1001,35.3159520525564,0.212330591118295,0.505415652390756,17.8501595530677,3,"1","G"
"WT_37",84,976,34.9139941489403,0.201413946144314,0.506585619422693,17.6258460482151,3,"1","G"
"WT_37",85,954,34.222093536142,0.269046708981071,0.504929325800966,17.4260618448156,3,"1","G"
"WT_37",86,640,16.1177078809073,0.950799677620662,0.431277090086348,14.2729929292222,3,"1","G"
"WT_37",87,1152,37.7776863823575,0.23606435638259,0.501956033336057,19.1492294592688,3,"1","G"
"WT_37",88,972,34.3994066808311,0.296304667625559,0.506215624711356,17.5896904285051,3,"1","G"
"WT_37",89,926,33.9240353948142,0.222502841374501,0.507953015698164,17.1684290081006,3,"1","G"
"WT_37",90,1004,35.3255456404045,0.222702060834123,0.509566034185333,17.8768880325555,3,"1","G"
"WT_37",91,977,34.9493271512424,0.195542094572957,0.495276067073749,17.6348733707266,3,"1","G"
"WT_37",92,1249,38.7059054520403,0.338131828391988,0.492532912797878,19.9391335780559,3,"1","G"
"WT_37",93,1286,40.1340080412218,0.185765545395913,0.502710327827685,20.2323136005835,3,"1","G"
"WT_37",94,1158,37.3603790262029,0.325741291180843,0.504787310065257,19.1990324808525,3,"1","G"
"WT_37",95,948,34.6188953956808,0.127863005110192,0.507692919708935,17.3711764743276,3,"1","G"
"WT_37",96,1112,37.3585356394081,0.173658533463861,0.497323610249956,18.8138404754685,3,"1","G"
"WT_37",97,1046,36.0003956836775,0.234438458531789,0.506778005284897,18.2469762138346,3,"1","G"
"WT_37",98,1194,37.3600085397701,0.401346812524489,0.507395573147936,19.4951789964454,3,"1","G"
"WT_37",99,1208,38.1880425589663,0.322926674880125,0.500769937225716,19.6091392597946,3,"1","G"
"WT_37",100,1029,35.711674563342,0.234556285386417,0.494338989526016,18.0980903103924,3,"1","G"
"WT_37",101,634,25.1096115859249,0.660761740350711,0.490032860004001,14.205930727711,3,"1","G"
"WT_37",102,1101,37.2159472435256,0.161884175983252,0.497801962062658,18.7205551383594,3,"1","G"
"WT_37",103,461,18.4490459148223,0.841834988209628,0.488150880347185,12.1136640836176,3,"1","G"
"WT_37",104,1101,35.5842014394119,0.431759573990534,0.502055224662538,18.7205551383594,3,"1","G"
"WT_37",105,641,25.9180053695837,0.615145818441311,0.486109784334716,14.284139352576,3,"1","G"
"WT_37",106,1119,36.956510252782,0.28957362560983,0.505090105754698,18.8729638011538,3,"1","G"
"WT_37",107,1184,38.6897504987504,0.128358032683397,0.502568304218224,19.4133692398205,3,"1","G"
"WT_37",108,976,35.0933696157777,0.141579609955976,0.509349978309232,17.6258460482151,3,"1","G"
"WT_37",109,661,21.1025841088136,0.851336017878837,0.488578081210446,14.505269206998,3,"1","G"
"WT_37",110,848,32.2489497693075,0.284570454811248,0.482615198374805,16.4294486664603,3,"1","G"
"WT_37",111,935,33.7677356345707,0.29507347111907,0.489438881398555,17.2516591544652,3,"1","G"
"WT_37",112,1058,36.478168173584,0.163820629995122,0.500124899282454,18.3513448984659,3,"1","G"
"WT_37",113,944,34.4155523930322,0.177723715683996,0.49124155618308,17.3344896826384,3,"1","G"
"WT_37",114,778,30.8173867160811,0.304096935940047,0.475590739017131,15.7367433559485,3,"1","G"
"WT_37",115,846,32.6912009787041,0.149707988250577,0.48130133401798,16.4100628795714,3,"1","G"
"WT_37",116,1309,38.0338480710669,0.512208899387254,0.497017324035738,20.4124383897314,3,"1","G"
"WT_37",117,1004,35.3604181326558,0.213184884975509,0.499404742655006,17.8768880325555,3,"1","G"
"WT_37",118,645,28.5583462855078,0.168842467963418,0.483911603581872,14.3286383368604,3,"1","G"
"WT_37",119,981,35.0194740097947,0.196805573431856,0.49478582526491,17.6709365441195,3,"1","G"
"WT_37",120,1003,35.5596497611405,0.146558826029183,0.4924332064821,17.8679829819245,3,"1","G"
"WT_37",121,826,28.6634548328742,0.631447825014759,0.48052700603401,16.2149303417502,3,"1","G"
"WT_37",122,750,30.4377610223929,0.248508175372143,0.503566345245878,15.4509680809276,3,"1","G"
"WT_37",123,811,24.0719339431846,0.838214394666535,0.358053162967575,16.0670257887094,3,"1","G"
"WT_37",124,340,19.7592014680276,0.44346449181052,0.413787806198967,10.4031418957202,3,"1","G"
"WT_37",125,727,29.233533322679,0.3892173851258,0.508165064446018,15.212208493694,3,"1","G"
"WT_37",126,777,31.0554213365539,0.249014074730184,0.487290704535747,15.7266265157155,3,"1","G"
"WT_37",127,923,34.1952492527628,0.115956324354097,0.498055536143593,17.1405958165881,3,"1","G"
"WT_37",128,634,25.4632062966495,0.6213494582393,0.480295984500035,14.205930727711,3,"1","G"
"WT_37",129,796,31.6578144084319,0.157949223358904,0.499650897013397,15.9177469951717,3,"1","G"
"WT_37",130,727,29.9209673869259,0.259874922395826,0.502603699100444,15.212208493694,3,"1","G"
"WT_37",131,774,30.6247800824833,0.318349324123248,0.479700652343572,15.6962368708635,3,"1","G"
"WT_37",132,585,24.4487248568297,0.627006178115732,0.473950796032132,13.6459255244017,3,"1","G"
"WT_37",133,825,32.2318130343741,0.157586668347709,0.501601994558793,16.2051120360714,3,"1","G"
"WT_37",134,665,28.7330703482254,0.233811088614014,0.506872483971969,14.5490918724235,3,"1","G"
"WT_37",135,499,24.8518240081508,0.243128592548688,0.411376550224004,12.6030406333437,3,"1","G"
"WT_37",136,579,24.9125718382592,0.585788140595017,0.493104580356797,13.5757660594316,3,"1","G"
"WT_37",137,680,28.8834891567383,0.292409992098949,0.490294045543691,14.7122643602193,3,"1","G"
"WT_37",138,544,26.083961834585,0.21837574321909,0.480171799291464,13.1590492849591,3,"1","G"
"WT_37",139,554,23.533014177163,0.651379960853684,0.470057523563253,13.2794456565709,3,"1","G"
"WT_37",140,585,25.3030473259131,0.547705181893463,0.480842275657323,13.6459255244017,3,"1","G"
"WT_37",141,470,23.7992817247372,0.392266570766943,0.485177682640727,12.2313387045892,3,"1","G"
"WT_37",142,830,32.1061370048339,0.225778602409983,0.497263829232818,16.2541442571594,3,"1","G"
"WT_37",143,621,25.5759521751382,0.596060422074284,0.471589210388632,14.0595319737228,3,"1","G"
"WT_37",144,668,28.6530186828175,0.27316961787288,0.480427682442915,14.5818724439206,3,"1","G"
"WT_37",145,351,13.2882230972471,0.919714152275636,0.454358701968475,10.5700884599189,3,"1","G"
"WT_37",146,409,21.9834468854568,0.411953113814433,0.477168348250653,11.410028196686,3,"1","G"
"WT_37",147,617,25.8910796771989,0.552735898185369,0.481550686883192,14.0141785265994,3,"1","G"
"WT_37",148,953,32.0495601443138,0.533932323113983,0.495821978489096,17.4169262940725,3,"1","G"
"WT_37",149,381,21.6849455294063,0.256903508285135,0.405802807724051,11.0125413341347,3,"1","G"
"WT_37",150,857,32.6021447289514,0.232614592536799,0.492771846353705,16.5164031332342,3,"1","G"
"WT_37",151,666,28.8638770139861,0.19658553249215,0.497321657024207,14.5600269298654,3,"1","G"
"WT_37",152,803,30.2675479384801,0.473004394157188,0.469047823223383,15.9875838889303,3,"1","G"
"WT_37",153,388,20.5039332802688,0.529748870225714,0.40031439690497,11.1132459632328,3,"1","G"
"WT_37",154,1490,37.1622781471486,0.688684537172827,0.48639656254159,21.7780102491905,3,"1","G"
"WT_37",155,488,23.4080540947559,0.495891231807755,0.476060670741509,12.463355264843,3,"1","G"
"WT_37",156,583,26.2140650304689,0.407728908777556,0.478146596174684,13.6225791847634,3,"1","G"
"WT_37",157,400,15.9052399856164,0.869099621670272,0.393715287235782,11.2837916709551,3,"1","G"
"WT_37",158,516,25.2755056406921,0.243597148145486,0.456966035966526,12.8159237384917,3,"1","G"
"WT_37",159,642,26.8419838836961,0.480760062755293,0.454053630973837,14.2952770847575,3,"1","G"
"WT_37",160,538,25.9750465374675,0.192647383245179,0.4608614724195,13.0862797909444,3,"1","G"
"WT_37",161,563,24.1037605921331,0.622536781358025,0.472025665087608,13.3868766305466,3,"1","G"
"WT_37",162,564,24.209134147402,0.613795285157044,0.471615738819626,13.398760233979,3,"1","G"
"WT_37",163,543,18.0100250819951,0.887416721944903,0.444289383352054,13.1469490071955,3,"1","G"
"WT_37",164,1022,24.2432003685617,0.906070383292323,0.42461748857879,18.0364271317751,3,"1","G"
"WT_37",165,1590,38.8334089739851,0.670745265867076,0.469671682078145,22.4969491049837,3,"1","G"
"WT_37",166,598,27.1206813138013,0.274035418721965,0.440106476443962,13.7967138093789,3,"1","G"
"WT_37",167,968,30.2429569276284,0.677167750337619,0.406486505583329,17.553460337663,3,"1","G"
"WT_37",1,759,25.0228015744116,0.766652587098386,0.467300506195216,15.5433974282812,3,"2","G"
"WT_37",2,602,18.8156418575712,0.915769537662024,0.476136757175396,13.8427797599558,3,"2","G"
"WT_37",3,480,21.9184876691347,0.62216550412251,0.46296060876469,12.3607744647421,3,"2","G"
"WT_37",4,973,34.4942521092195,0.282434830747932,0.487534699357473,17.5987362971558,3,"2","G"
"WT_37",5,1097,36.5880440540776,0.288417841368628,0.490755876116607,18.6865177372248,3,"2","G"
"WT_37",6,436,16.9113116397896,0.880261620962149,0.453267199253953,11.7806243627463,3,"2","G"
"WT_37",7,840,26.4869148787969,0.769762631428225,0.456957763782253,16.3517676229325,3,"2","G"
"WT_37",8,753,30.5809934085709,0.226925069695876,0.489883997008046,15.4818391768031,3,"2","G"
"WT_37",9,356,17.7967434155262,0.720560691602558,0.438322987612339,10.6451077721848,3,"2","G"
"WT_37",10,873,32.6279486830418,0.291352254706878,0.490385525025003,16.6698689448492,3,"2","G"
"WT_37",11,753,29.4869899697185,0.436246629795595,0.475698392726312,15.4818391768031,3,"2","G"
"WT_37",12,721,28.6918460964518,0.456230575270741,0.473913283530621,15.1493045364635,3,"2","G"
"WT_37",13,607,25.0336236494698,0.589308978684446,0.471731846862963,13.9001475140935,3,"2","G"
"WT_37",14,1344,36.2961929122512,0.641216801371541,0.485282842862486,20.6835317833056,3,"2","G"
"WT_37",15,706,23.7838313344317,0.783177244474123,0.469935503880683,14.9908898883874,3,"2","G"
"WT_37",16,723,30.3759971481609,0.060536096503494,0.471660893878816,15.1703015036248,3,"2","G"
"WT_37",17,829,30.6486178053369,0.480032544283705,0.468360047891889,16.2443496529212,3,"2","G"
"WT_37",18,790,30.9849777429618,0.309090823163037,0.47082374285443,15.8576420089872,3,"2","G"
"WT_37",19,844,32.7260129373433,0.101090551636849,0.485828363296496,16.3906541644658,3,"2","G"
"WT_37",20,790,29.9762003604511,0.487799946910762,0.497192203454557,15.8576420089872,3,"2","G"
"WT_37",21,361,19.9489329687456,0.513285663776662,0.465050908753637,10.7196020874074,3,"2","G"
"WT_37",22,942,34.2452058307338,0.215228613015366,0.488369873176078,17.3161171393916,3,"2","G"
"WT_37",23,489,22.5161840818674,0.615440303717269,0.468789998494908,12.4761185608295,3,"2","G"
"WT_37",24,884,33.4213883401664,0.131446827768986,0.489700929402923,16.7745622710839,3,"2","G"
"WT_37",25,417,21.1034384352722,0.58975286671565,0.477826797201278,11.5210773167547,3,"2","G"
"WT_37",26,803,31.7778517008481,0.16826507448355,0.494546158565833,15.9875838889303,3,"2","G"
"WT_37",27,789,30.0030786969743,0.514591481196947,0.491063381809445,15.8476023485892,3,"2","G"
"WT_37",28,373,19.4765586803792,0.607514561756461,0.457363978359694,10.8963107310022,3,"2","G"
"WT_37",29,611,27.5212839853256,0.268523211947431,0.468285459307819,13.9458718070365,3,"2","G"
"WT_37",30,1006,35.5277579293579,0.178886582763918,0.487845196499,17.8946848393844,3,"2","G"
"WT_37",31,731,30.0879635443047,0.270061158645517,0.488755444474282,15.254000354017,3,"2","G"
"WT_37",32,818,32.1544025636078,0.135457297432198,0.474759075088206,16.1362166228128,3,"2","G"
"WT_37",33,703,29.4730706624399,0.247424023480538,0.491333534455604,14.9590056483446,3,"2","G"
"WT_37",34,906,32.4828064081664,0.406564647241087,0.487119391348578,16.9820127453289,3,"2","G"
"WT_37",35,569,25.9840155967928,0.377972933992719,0.472525784631598,13.4580208514691,3,"2","G"
"WT_37",36,1203,38.1155116045296,0.321824787908934,0.484485822543862,19.5685153519397,3,"2","G"
"WT_37",37,778,31.0472634123838,0.237121125133533,0.489815357582558,15.7367433559485,3,"2","G"
"WT_37",38,487,21.8687022477677,0.669652544544134,0.470028371157749,12.4505788849959,3,"2","G"
"WT_37",39,978,30.5133289448619,0.682885034797335,0.458209447061906,17.6438960744997,3,"2","G"
"WT_37",40,1096,32.7062336973143,0.64438297373117,0.485964696718962,18.6779986951877,3,"2","G"
"WT_37",41,1105,37.161774766738,0.199110722590829,0.486729149000799,18.7545307654734,3,"2","G"
"WT_37",42,948,34.3873233462436,0.20748874748823,0.491450018672243,17.3711764743276,3,"2","G"
"WT_37",43,1042,32.0868346545442,0.633118896842994,0.49375961278145,18.2120537393098,3,"2","G"
"WT_37",44,903,33.4050737665562,0.250884339771923,0.476149037053049,16.9538735168092,3,"2","G"
"WT_37",45,848,32.1752182967573,0.288156062828238,0.488221056800368,16.4294486664603,3,"2","G"
"WT_37",46,872,32.902453745947,0.227931611132719,0.490263049874361,16.6603187470188,3,"2","G"
"WT_37",47,695,29.4164617988109,0.216447130052041,0.503191355332015,14.8736468593864,3,"2","G"
